RU	ING
Слабый голос старухи отвечал ему: «Для ночлега путников есть дома богатых и сильных: есть теперь в городе свадьбы – ступай туда; там можешь провести ночь в удовольствии».	Щаьхха Тючухьежача, оа кТал ма беза а болаш, воалац.— Баіёълув- из сирача дына т1аваг11аш цхьа саг а б1ар- хьай "т1юрми са — нуврах Хьа а элле ' гавайра цунна, цо теха ч1оаг11а щюг1а а волле сона т1ехьа“.
«Ана, – отвечал он, – я здесь никого знакомых не имею и потому повторяю мою просьбу: ради странствующего твоего сына впусти меня».	Щаьхха Тючухьежача, оа кТал ма беза а болаш, воалац.— Баіёълув- из сирача дына т1аваг11аш цхьа саг а б1ар- хьай "т1юрми са — нуврах Хьа а элле ' гавайра цунна, цо теха ч1оаг11а щюг1а а волле сона т1ехьа“.
Тогда сестра его говорит матери: «Мать, я встану и отворю ему двери».	Ашик дахьежача: цунна хьал- ‘№ё…
«Негодная, – отвечала старуха, – ты рада принимать молодых людей и угощать их, потому что вот уже семь лет, как я от слёз потеряла зрение».	Ашик дахьежача: цунна хьал- ‘№ё…
Но дочь, не внимая её упрекам, встала, отперла двери и впустила Ашик-Кериба: сказав обычное приветствие, он сел и с тайным волнением стал осматриваться: и видит он на стене висит в пыльном чехле его сладкозвучный сааз.	Ё ъ Ва хашка дар Арзерума кТай пенаши къегаш о $№Ёі - адннеаачны — палат ваьннав со, со веннавар Къар- : «Ё_/"‹'›;ЗЁ”‚ ЖЁ1‚; се ваха веза са ала,— „Из да-кх дош, — об г ”?‚* ) аьлар баьречо,— аз хьалххе а д а ма …Ё Ё…;Ё “ аьннадарий хьога, щена бакъдар алалахь *Ё‘ д_ё*› сога, аьнна; юха а дав11ашта дахка б1ар- ла ;«_‚/ ов ° Щ гаш.
И стал он спрашивать у матери: «Что висит у тебя на стене?» «Любопытный ты гость, – отвечала она, – будет и того, что тебе дадут кусок хлеба и завтра отпустят тебя с богом».	Ё ъ Ва хашка дар Арзерума кТай пенаши къегаш о $№Ёі - адннеаачны — палат ваьннав со, со веннавар Къар- : «Ё_/"‹'›;ЗЁ”‚ ЖЁ1‚; се ваха веза са ала,— „Из да-кх дош, — об г ”?‚* ) аьлар баьречо,— аз хьалххе а д а ма …Ё Ё…;Ё “ аьннадарий хьога, щена бакъдар алалахь *Ё‘ д_ё*› сога, аьнна; юха а дав11ашта дахка б1ар- ла ;«_‚/ ов ° Щ гаш.
«Я уж сказал тебе, возразил он, что ты моя родная мать, а это сестра моя, и потому прошу объяснить мне, что это висит на стене?» «Это сааз, сааз», – отвечала старуха сердито, не веря ему.	Х1анз хьалакха“.
«А что значит сааз?» «Сааз то значит: что на нём играют и поют песни».	Х1анз хьалакха“.
И просит Ашик-Кериб, чтоб она позволила сестре снять сааз и показать ему.	Ашик шийх а‘те- айй *ЁЧ'*Ч„„ шац, из Къарсе я, аьнна.
Смешение Хадерилиаза со святым Георгием встречается в армянском и грузинском фольклоре.	Гогора а вежа, . *'РЁ„“ ‘ аьлар цо:— „Бехке ва со, Ама, кхозза ё о ® к) СС ВВРОЛОС РЕ ао бехке ва хьа гГулакхча Ашик-Кериб; г н ЛЕНЕ ОСА ИЕ цхьабакъда, хьона хьайна ма хой, Турра оНЫ денз: харцле лаьрх1а вола саг, сарралца ше 9 )ОВ оее харцле везалга.
