# RU	ING
возразил он	„Наькъахошта бийса яккха щ1ечунга: — “Аг1а
что ты моя родная мать	Та даьр, дувца хабар доа- нош да б1аьхибарий, низбарий
а это сестра моя	х1анз гоцаш, доккха дика да, цхьабакъда, кхы роде ловзараш да
и потому прошу объяснить мне	цига г11о хьайна1
что это висит на стене?» «Это сааз	Цига а доккхаг11а хилийта из
сааз», – отвечала старуха сердито	нагахьа санна бийса сакъердаме дГахьоргья [а хьайхГанз аз Арзиньянара цхьан дийнахь Гур- на“, — „Ана, — аьлар цо, — укхаза сона жег1а венав со аьлча
не веря ему.	сох цхьаккха саг бовзаш нах а бац
«А что значит сааз?» «Сааз то значит: что на нём играют и поют песни».	цудухьа щаькха а тешаргвац: моллаг1а яйя а цхьа белгало дехар ду аз хьога: хьай наькЪа араваьня сона“. — „1оверза, — аьлар вакхо
И просит Ашик-Кериб, чтоб она позволила сестре снять сааз и показать ему.	вела на лелача ви1ий духьа чувиталахь со1* а къажаь, — дына барга к1алхара лаьттан "Таккха цун йишас аьлар наьнага:
«Нельзя, – отвечала старуха, – это сааз моего несчастного сына, вот уже семь лет он висит на стене, и ничья живая рука до него не дотрогивалась».	„Нана, гарза хьа а ийце, хьай че йолла
Но сестра его встала, сняла со стены сааз и отдала ему: тогда он поднял глаза к небу и сотворил такую молитву: «О всемогущий аллах1	хьай аз хьал а гГаттаь на1араш хьаелларгья бакъдолча дешаех нах ца тешаш хуле
Если я должен достигнуть до желаемой цели, то мой семиструнный сааз будет так же стройна, как в тот день, когда я в последний раз играл на ней».	цунна“. б1аргаш дайна ворх1 шу долаш вола саг — „Тоалув я11— аьлар йоккхача сахьа а воалавайте
И он ударил по медным струнам, и струны согласно заговорили	цунна б1аргах хьакха а
и он начал петь: «Я бедный Кериб (нищий) – и слова мои бедны	го, — кагий нах чу а ийбеш
но великий Хадерилияз помог мне спуститься с крутого утёса, хотя я беден и бедны слова мои.	царна гТутТаккха из х1ама гуш хургва“.
Узнай меня, мать, своего странника».	Сирача дына лакхаш де раьза Йолаш я хьо, хТана барга к1алхара лаьттан гарза хьалъийцар ЗНОЧ, ворбх[і Н дЬДЕЬННЁд ы 6108„ ле Ашика
После этого мать его зарыдала и спрашивает его: «Как тебя зовут?» «Рашид» (храбрый), – отвечал он.	цхьабакъда
«Раз говори, другой раз слушай, Рашид, – сказала она, – своими речами ты изрезал сердце моё в куски.	цо корта хьалъай- НИКа
Нынешнюю ночь я во сне видела, что на голове моей волосы побелели, – а вот уж семь лет я ослепла от слёз	оООО АИЕВ ВОРатя б б й 8 Х1аьта а Йо1о
скажи мне ты, который имеешь его голос, когда мой сын придёт?» И дважды со слезами она повторила ему просьбу.	цо шийна еча 1Тувттарашешшехь а, — баьрии дыи къайлалийлхар. ка ла а ца дувг1аш
Напрасно он называл себя её сыном	хьал а гаттаь
но она не верила	Таккха ший дагахь соцадир цо, из ший- — } хьа а йийлла, чувитар Ашик-Кериб.
и спустя несколько времени просит он: «Позвольте	Вала на г1о даьр Хадерилиаз вар, аьнна. веззача бесса моаршалца щаг1а д1ачу а Геттара садайначул т1ехьаг1а хьалехар Ашик-Кериба ший щ1а.
взять сааз и идти	ваьнна, шийна чухь сатем боаццаш д1а- хьал а хьажаь дуТа дир цо: „Ва низ кхоачаш са хьежа ваьлар из.
я слышал	Цунна б1аргабайра: вола Аллах11 сайна дага латтар са кхоапенах хьалъуллаш
здесь близко есть свадьба: сестра меня проводит	дом т1абиллаьча бет- чаш хургдале
я буду петь и играть, и всё, что получу, принесу сюда и разделю с вами».	са ворх1 пха бола сааз та чу а боаллаш
«Не позволю, – отвечала старуха, – с тех пор, как нет моего сына, его сааз не выходил из дому».	мерза ‚йиш йоаг1аш аз ший юххерча дийнахь йиш локхаш бола ший сааз
Но он стал клясться, что не повредит ни одной струны.	т1аккха наьнага хетта санна тайна хилийталахь1“ — Из а аьнна
«А если хоть одна струна порвётся, – продолжал Ашик, – то отвечаю моим имуществом».	„Фуй’ хьа из пенах хьалъул- цун геза пхаьнех ш1елг техар цо, таклар?“— „Хьайга ца кхоачар дувцаш хьа- кха цар цунна хеттача бесса йиш лекхар
Старуха ощупала его сумы и, узнав, что они наполнены монетами, отпустила его	ша ва хьо,— аьлар цо, — тоъаргда хьона, тГаккха илли аьлар цо:
проводив его до богатого дома, где шумел свадебный пир, сестра осталась у дверей слушать, что будет.	Кеяа маькха ч1егилг а лургья хьона, кхоана риб
В этом доме жила Магуль-Мегери, и в эту ночь она должна была сделаться женою Куршуд-бека.	„Аз ма аьннадий хъьога — сона лакхача лоамах ГокТалвала, со къе аьнна духьалваьлар из,—-хьо со ваь са вале а, са дешаш къе дале а.
Куршуд-бек пировал с родными и друзьями	Со вовза нана а я, эр са йиша а я, цудухьа аз де- хьайна, нана, хьай наькъахо“
а Магуль-Мегери	Цул т1ехьаХар ду хьога
сидя за богатою чапрой (занавес) с своими подругами	из хьай пенах хьалъуллар г[а цун нанас
держала в одной руке чашу с ядом	ч1оаг1а Ййийлха а Йийлха
а в другой острый кинжал: она поклялась умереть прежде	фуй 1а хьаалар“.—“Из сааз ба
чем опустит голову на ложе Куршуд-бека.	сааз“ — хаьттар цунга:—“Щи фуй хьа?,— „Рааьлар йоккхача саго эг1аз а яха
И слышит она из-за чапры	цунах шид я“ — аьлар цо.
что пришел незнакомец	Цкъа къамаьл де, теша а ца тешаш.— “Из фуй сааз яхар?
который говорил: «Селям алейкюм: вы здесь веселитесь и пируете	„ — т1аккха ладувг1а, Рашид,— аьлар цо,— “Сааз я — илли локхаш, илли оалаш хьай къамаьлашца са дог ч1егилгаш йола х1ама“.
так позвольте мне	Сувсара гТанакхейЙишийга хьа а эцийте, шийга хьахьок- лахь дайнадар сона, сай корта кТайбенхийта из сааз, аьнна.— “Ииш яц — аьлар на
бедному страннику	х11анз ворх1 шу дизад сов дукха Йийлйоккхача саго.—— Из сааз са ираз доацаш ха са б1аргаш ‘дайна
сесть с вами	са ви1ий яр санна волча ви1ий ба
и за то я спою вам песню».	х1анз ворх1 шу даьннад
«Почему же нет, – сказал Куршуд-бек. – Сюда должны быть впускаемы песельники и плясуны, потому что здесь свадьба: спой же что-нибудь	оаз йолаш волча 1а ала сога
Ашик (певец), и я отпущу тебя с полной горстью золота».	са во1 ща дийнача сега кулг д1а ца кхеташ из цу маца воаг1аргва? “ — Б1аргех хий а ухаш
Тогда Куршуд-бек спросил его: «А как тебя зовут, путник?» – «Шинди-гёрурсез (скоро узнаете)».	пенах хьалъулла“.-—— Хаьта а йишас хьал шозза кхы а дир цо цунга из дехар. а гТаттаь
«Что это за имя, – воскликнул тот со смехом. – Я в первый раз такое слышу1»...	пенах хьалъуллачара хьа а ийца
После этого он взял сааз и начал петь.	д1абелар цунга из сааз.
«В городе Халафе я пил мисирское вино, но бог мне дал крылья, и я прилетел сюда в три дни».	Т1аккха сигленга * Кериб — наькъахо,
Чапра – занавес.	Мелла ше цун во1 ва укхо яьхача а, тешанзар из укхунах.
Брат Куршуд-бека, человек малоумный, выхватил кинжал, воскликнув: «Ты лжёшь; как можно из Халафа приехать сюда в три дни?	КТеззига ха яьннача г1олла, дийхар цо: „Нана, из пандар а ийце вахийта со, уккхаза, гаьна доаццаш ловзар да аьнна хезад сона
«За что ж ты меня хочешь убить, – сказал Ашик, – певцы обыкновенно со всех четырёх сторон собираются в одно место	йишас д1авугарвар со
и я с вас ничего не беру	аз илли а аргдар, пандар а локхаргбар, цигара айса даьккхар уккхаза хьачу а дахьаргдар аз, шуца декъарг а дар аз“.
верьте мне или не верьте». – Пускай продолжает, – сказал жених	Бохьийтаргбац,— аьлар
и Ашик-Кериб запел снова: «Утренний намаз творил я в Арзиньянской долине	Йоккхача саго,— са во1 д1аваьлча гГоне денз, цун сааз щаг1ара арабаьннабац“.
полуденный намаз в городе Арзруме	ХМаьта а ер дув баа волавелар, цхьакка а пханна зеё дерг ма дац ше, яхаш.
пред захождением солнца творил намаз в городе Карсе, а вечерний намаз в Тифлизе.	„Хаьта нагахьа санна царех цхьа пха хаде а, — аьлар д11ахо Ашика
Аллах дал мне крылья, и я прилетел сюда	се да волаш дола рузкъа д1алург мад аз цунах“. — Иоккхача саго укхун тЮюрмех кулг а теха
